"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000161929",272.900833350284,3.02863684076845,0.430933905054224,7.02807740409139,2.09398731786894e-12,6.10941739861442e-08,"SCIMP",388325
"ENSG00000169679",141.111832795661,2.755682016259,0.422611641436304,6.5206012945915,7.00260976360680e-11,7.80928454081905e-07,"BUB1",699
"ENSG00000111913",1628.36028687038,2.55474645153682,0.393035464778391,6.50004053190796,8.02983740830036e-11,7.80928454081905e-07,"FAM65B",9750
"ENSG00000157456",120.111413490956,2.42790964389746,0.381558924479391,6.36313158501052,1.97681195757761e-10,1.44188664185711e-06,"CCNB2",9133
"ENSG00000170006",391.127194519464,2.37178721377942,0.377626469534805,6.28077585954502,3.36887540839094e-10,1.88524814355422e-06,"TMEM154",201799
"ENSG00000245904",96.9368718453736,2.63362559933381,0.420780796933775,6.25890159086396,3.87698411753678e-10,1.88524814355422e-06,"RP11-796E2.4",NA
"ENSG00000101057",336.668687791652,3.55550996513232,0.573180198751047,6.20312769505949,5.53518902880782e-10,2.3070667872071e-06,"MYBL2",4605
"ENSG00000084070",4925.32801364724,2.15313407268132,0.350340923940084,6.14582518212902,7.95488598797184e-10,2.66177754638022e-06,"SMAP2",64744
"ENSG00000143228",71.1025923252817,2.54397180122743,0.414273895330918,6.14079677696161,8.21085752585069e-10,2.66177754638022e-06,"NUF2",83540
"ENSG00000112486",255.770305814889,2.26371625938391,0.372371017057124,6.07919562933289,1.20786923168998e-09,2.88811858816969e-06,"CCR6",1235
"ENSG00000068831",4100.36843590427,2.56500676556519,0.422638781216134,6.06902839863497,1.28686391713072e-09,2.88811858816969e-06,"RASGRP2",10235
"ENSG00000118308",1221.53699135364,2.3175340545864,0.381380315731666,6.07670076034281,1.22680386877717e-09,2.88811858816969e-06,"LRMP",4033
"ENSG00000257242",96.727230999136,2.91343351511945,0.47721668666986,6.1050537344998,1.02766102004976e-09,2.88811858816969e-06,"LINC01619",256021
"ENSG00000205056",339.741000187722,3.85367218253553,0.64100194810763,6.01195081218141,1.83303946453586e-09,3.82005424409273e-06,"RP11-693J15.5",100507616
"ENSG00000188822",229.064863446028,2.9118382728353,0.489824299630977,5.94465867665002,2.7703349798469e-09,4.48764950468092e-06,"CNR2",1269
"ENSG00000162892",350.918646988213,2.7563365628761,0.465944218921312,5.91559343574899,3.30681120816738e-09,4.48764950468092e-06,"IL24",11009
"ENSG00000136541",144.494694344545,2.9062959795283,0.488591767388074,5.94831139923796,2.70922811358944e-09,4.48764950468092e-06,"ERMN",57471
"ENSG00000095585",818.693525676909,1.45512224735591,0.246138600847155,5.91180027166688,3.38388706824034e-09,4.48764950468092e-06,"BLNK",29760
"ENSG00000129173",41.5317637569149,3.55297995263346,0.596083167544799,5.96054400809168,2.51399585865934e-09,4.48764950468092e-06,"E2F8",79733
"ENSG00000183150",20.1940293610174,2.39027974153912,0.402568106918383,5.93757851270551,2.89262532606539e-09,4.48764950468092e-06,"GPR19",2842
"ENSG00000263264",142.436360286859,3.31807069829375,0.559891924719509,5.92626996711198,3.09892972394953e-09,4.48764950468092e-06,"CTB-133G6.1",NA
"ENSG00000160505",19.0155738883367,5.83391466742086,0.983191764435553,5.93364883479276,2.96275171248358e-09,4.48764950468092e-06,"NLRP4",147945
"ENSG00000074966",434.264845414002,2.52932386812264,0.429125768746897,5.89413186606946,3.76656300465756e-09,4.57888509266205e-06,"TXK",7294
"ENSG00000083454",1269.60895006682,3.47532728993697,0.588948985090113,5.90089698415088,3.61530599806013e-09,4.57888509266205e-06,"P2RX5",5026
"ENSG00000136573",1323.50814422696,3.78933145948763,0.645656537822721,5.8689585522761,4.38541040093816e-09,5.11794935431087e-06,"BLK",640
"ENSG00000198826",211.130086488451,1.27030022657284,0.217187438762389,5.84886600169633,4.94935589430461e-09,5.49070053895397e-06,"ARHGAP11A",9824
"ENSG00000126353",605.61203152495,2.60691638821586,0.446046776564435,5.84449103812606,5.08119394542628e-09,5.49070053895397e-06,"CCR7",1236
"ENSG00000153064",1608.62330159076,1.47943272657037,0.253928767876269,5.82617219365728,5.67131005855215e-09,5.56347923850136e-06,"BANK1",55024
"ENSG00000065357",3941.94280025872,1.99310345696692,0.342090469195518,5.8262466699351,5.66878101371289e-09,5.56347923850136e-06,"DGKA",1606
"ENSG00000166501",1317.61738189375,2.76898968099586,0.475385319481223,5.82472694785272,5.72060519451058e-09,5.56347923850136e-06,"PRKCB",5579
"ENSG00000220008",149.630297806288,3.26040659746946,0.566028384280996,5.76014681951159,8.40408026660367e-09,7.90959502769125e-06,"LINGO3",645191
"ENSG00000144554",516.895938127441,1.71730569907719,0.299413999332056,5.73555579534763,9.71930884270735e-09,8.86157983733843e-06,"FANCD2",2177
"ENSG00000198771",1653.35597685022,1.78208438399956,0.311655062390594,5.71813071262128,1.07702281545296e-08,9.52218717080472e-06,"RCSD1",92241
"ENSG00000223823",11.6318436293859,2.83606048733564,0.497861633286247,5.69648331528499,1.22303854307251e-08,1.04951095684363e-05,"LINC01342",254099
"ENSG00000137804",258.274172283335,2.31152558112217,0.407275815171944,5.67557781486802,1.38221292750694e-08,1.15221269636979e-05,"NUSAP1",51203
"ENSG00000162894",1763.33711465872,2.76742995733406,0.491186407321346,5.63417455386451,1.75898791224966e-08,1.42556198132767e-05,"FCMR",9214
"ENSG00000134602",480.348446290796,1.25142644887515,0.222716430141291,5.61892289707251,1.92151576256018e-08,1.51519307806638e-05,"STK26",51765
"ENSG00000173200",2081.25821672224,2.83568143541675,0.506239168126098,5.6014658958795,2.12546609807898e-08,1.63141866972919e-05,"PARP15",165631
"ENSG00000028277",1277.77045492831,2.61142880150412,0.466575296326745,5.59701471994634,2.18074198380308e-08,1.63141866972919e-05,"POU2F2",5452
"ENSG00000117724",192.239959608577,2.19594593309774,0.3940981197706,5.57207919280602,2.51716944061185e-08,1.79124233169003e-05,"CENPF",1063
"ENSG00000186265",234.456182040664,3.09872931810945,0.555910662958067,5.57414981324651,2.48741612956652e-08,1.79124233169003e-05,"BTLA",151888
"ENSG00000265206",173.491795100032,3.19554586744576,0.574979718612391,5.55766710373304,2.7340419197623e-08,1.89924778692821e-05,"MIR142",406934
"ENSG00000171320",24.8885879709754,2.41800964222333,0.4360365644052,5.54542861679902,2.93234951050292e-08,1.98963323996356e-05,"ESCO2",157570
"ENSG00000112182",605.49409713735,1.93412571526685,0.349407937979183,5.53543724980305,3.10452870872577e-08,2.0585847637678e-05,"BACH2",60468
"ENSG00000170486",88.3324298369321,3.8775688463238,0.70342568148508,5.51240727824642,3.53958673068019e-08,2.29491072120723e-05,"KRT72",140807
"ENSG00000271046",43.6286569925138,4.42665069527077,0.805267206906022,5.49712028169971,3.86043397196638e-08,2.3964259907679e-05,"RP11-138I18.2",NA
