"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000211677",1423.0473165165,4.85682384083532,0.62786783181647,7.73542391363507,1.03059120973595e-14,2.74601027834145e-10,"IGLC2",NA
"ENSG00000128438",511.880781007531,6.3373019519395,0.886282723179258,7.15042930003921,8.65069283114507e-13,1.1524885524293e-08,"TBC1D27",NA
"ENSG00000170476",1696.39661043642,4.87930853556747,0.693666638150516,7.03408275274257,2.00576062784205e-12,1.78144973096171e-08,"MZB1",51237
"ENSG00000211899",10346.35902093,4.71479261600095,0.68704664297438,6.86240543377018,6.77105622086461e-12,4.51036982512344e-08,"IGHM",NA
"ENSG00000143297",1938.07908585284,4.77006521776339,0.69962973831155,6.81798522354869,9.23261361536262e-12,4.92005979562674e-08,"FCRL5",83416
"ENSG00000160856",939.073221609749,4.50564701879021,0.670871038732116,6.71611495900234,1.86633573708928e-11,8.28808595245729e-08,"FCRL3",115352
"ENSG00000156234",820.91682696051,6.62451868864223,0.995224725932787,6.65630436626594,2.80798461989789e-11,1.06883928853113e-07,"CXCL13",10563
"ENSG00000211671",2136.84293281578,5.95028567476622,0.89664351871789,6.63617764535289,3.21921838131444e-11,1.07220092212654e-07,NA,NA
"ENSG00000211904",170.494913685056,7.20944334693381,1.09925424045466,6.55848581848718,5.43568752569802e-11,1.60926549024693e-07,"IGHJ2",NA
"ENSG00000026751",884.988746826586,3.64545385931651,0.557455195273046,6.53945624729703,6.1742900907098e-11,1.64513959466962e-07,"SLAMF7",57823
"ENSG00000132704",797.10085009227,5.26937025473277,0.810609548935039,6.50050355520183,8.00515973787811e-11,1.93906801105239e-07,"FCRL2",79368
"ENSG00000211890",9674.73365512224,4.44233282865512,0.692091455477295,6.41870780732512,1.37435907030529e-10,2.81690749448342e-07,"IGHA2",NA
"ENSG00000211644",3000.6046291865,4.85343943784316,0.755806929768078,6.42153339257216,1.34908410966606e-10,2.81690749448342e-07,"IGLV1-51",NA
"ENSG00000167483",1017.50460633551,4.46258211940463,0.696791068193093,6.40447664028892,1.50886052426403e-10,2.82088551048553e-07,"FAM129C",199786
"ENSG00000211668",2263.49665831195,5.5788649189509,0.872151674043331,6.39666824588785,1.58803838083254e-10,2.82088551048553e-07,"IGLV2-11",NA
"ENSG00000156738",6391.71159809617,4.89272509842374,0.77058823466835,6.34933791914108,2.16243561941143e-10,3.6011310674511e-07,"MS4A1",931
"ENSG00000211937",1263.17687017111,6.75559567334457,1.07179242738122,6.30308210877262,2.91784211986133e-10,4.57328842845324e-07,"IGHV2-5",NA
"ENSG00000211667",50.7089817297384,7.24719777326314,1.15794321380718,6.25868150255418,3.88245859831771e-10,5.74711718623197e-07,"IGLV3-12",NA
"ENSG00000169245",314.780383674076,4.14808541527837,0.667193934600663,6.21721091898285,5.06069317058609e-10,7.09695629106665e-07,"CXCL10",3627
"ENSG00000253998",79.4250754263956,6.58509206195772,1.06410784810423,6.18836903955691,6.07898801999015e-10,7.7130778948875e-07,"IGKV2-29",NA
"ENSG00000240505",221.930057821755,5.34373186115591,0.863114309069663,6.19122149291654,5.96997482168381e-10,7.7130778948875e-07,"TNFRSF13B",23495
"ENSG00000243290",1023.85816259102,5.39378589118572,0.875192566650616,6.16297040984692,7.13928523892508e-10,8.64664796323448e-07,"IGKV1-12",NA
"ENSG00000211611",249.059254728956,6.71878233190395,1.09804823701814,6.11884078075612,9.42585252539835e-10,1.07117480352544e-06,"IGKV6-21",NA
"ENSG00000110777",2371.80557766588,3.43964249146823,0.562481570233413,6.11512034081557,9.64841256693961e-10,1.07117480352544e-06,"POU2AF1",5450
"ENSG00000244437",2241.38341792502,5.38577334090799,0.891538202914496,6.04098996913599,1.5317150251964e-09,1.56971334024454e-06,"IGKV3-15",NA
"ENSG00000105369",2475.47455201056,4.71588170449323,0.780044310501354,6.04565874144024,1.48800758859817e-09,1.56971334024454e-06,"CD79A",973
"ENSG00000177455",1363.13165146012,4.90603828868135,0.817094684852028,6.00424697361702,1.92221920062671e-09,1.84555980385056e-06,"CD19",930
"ENSG00000211663",1774.41045057007,5.77461199000199,0.961986122526107,6.00280176063067,1.93941356756673e-09,1.84555980385056e-06,"IGLV3-19",NA
